23 23
1 3 1.29099444873580563
2 4 1.73205080756887729
2 3 -0.596284793999943919
3 2 -0.894427190999915879
3 6 1.67332005306815110
3 1 1.29099444873580563
3 5 -1.15470053837925153
4 7 2.00000000000000000
4 2 1.03923048454132638
4 6 -0.555492059863530877
5 3 -1.15470053837925153
5 8 1.52752523165194667
6 4 -0.925820099772551462
6 9 1.96396101212393143
6 3 1.11554670204543406
6 8 -0.843274042711567822
7 10 2.23606797749978970
7 4 1.14285714285714286
7 9 -0.538748023761179066
8 6 -1.26491106406735173
8 12 1.89736659610102760
8 5 1.52752523165194667
8 11 -1.41421356237309505
9 7 -0.942809041582063366
9 13 2.21108319357026657
9 6 1.17837660727435886
9 12 -0.785584404849572573
10 14 2.44948974278317810
10 7 1.24225998749988316
10 13 -0.529701438469773509
11 8 -1.41421356237309505
11 15 1.73205080756887729
12 9 -1.30930734141595429
12 16 2.17124059336723766
12 8 1.26491106406735173
12 15 -1.03279555898864450
13 10 -0.953462589245592315
13 17 2.43086217402198866
13 9 1.26347611061158089
13 16 -0.761904761904761905
14 18 2.64575131106459059
14 10 1.33608531424536987
14 17 -0.524055776089376073
15 12 -1.54919333848296675
15 20 2.09761769634030309
15 11 1.73205080756887729
15 19 -1.63299316185545207
16 13 -1.33333333333333333
16 21 2.40370085030932620
16 12 1.30274435602034260
16 20 -0.962140470884727785
17 14 -0.960768922830522801
17 22 2.63117405792108764
17 13 1.35047898556777148
17 21 -0.749110958292491207
18 23 2.82842712474619010
18 14 1.42463532134247186
18 22 -0.520203267811928564
19 15 -1.63299316185545207
20 16 -1.60356745147454631
20 15 1.39841179756020206
21 17 -1.34839972492648417
21 16 1.37354334303390068
22 18 -0.966091783079295905
22 17 1.43518584977513871
23 18 1.50849446653130139
