#x points: 24 #c points: 180
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.04 -7.99859 0.00362373 0
0.04 -7.99256 0.00843112 0
0.04 -7.98173 0.0132355 0
0.04 -7.9661 0.0180245 0
0.04 -7.94569 0.0227919 0
0.04 -7.92052 0.0275319 0
0.04 -7.89063 0.0322388 0
0.04 -7.85606 0.0369068 0
0.04 -7.81683 0.0415303 0
0.04 -7.77301 0.0461038 0
0.04 -7.72464 0.0506218 0
0.04 -7.67179 0.0550787 0
0.04 -7.61451 0.0594693 0
0.04 -7.55287 0.0637883 0
0.04 -7.48696 0.0680303 0
0.04 -7.41684 0.0721905 0
0.04 -7.34261 0.0762636 0
0.04 -7.26434 0.0802448 0
0.04 -7.18215 0.0841293 0
0.04 -7.09612 0.0879125 0
0.04 -7.00636 0.0915898 0
0.04 -6.91298 0.0951566 0
0.04 -6.81608 0.0986089 0
0.04 -6.7158 0.101942 0
0.04 -6.61224 0.105153 0
0.04 -6.50554 0.108237 0
0.04 -6.39581 0.11119 0
0.04 -6.2832 0.11401 0
0.04 -6.16784 0.116692 0
0.04 -6.04986 0.119233 0
0.04 -5.92942 0.121631 0
0.04 -5.80665 0.123882 0
0.04 -5.6817 0.125984 0
0.04 -5.55473 0.127935 0
0.04 -5.42589 0.129731 0
0.04 -5.29532 0.131371 0
0.04 -5.1632 0.132852 0
0.04 -5.02967 0.134173 0.0000150201
0.04 -4.8949 0.135333 0.0000276457
0.04 -4.75906 0.13633 0.0000501047
0.04 -4.6223 0.137162 0.0000893018
0.04 -4.48479 0.137829 0.000156327
0.04 -4.3467 0.13833 0.000268468
0.04 -4.20819 0.138665 0.000451814
0.04 -4.06942 0.138832 0.000744369
0.04 -3.93058 0.138832 0.0011994
0.04 -3.79181 0.138665 0.00188839
0.04 -3.6533 0.13833 0.00290277
0.04 -3.51521 0.137829 0.00435294
0.04 -3.3777 0.137162 0.00636324
0.04 -3.24094 0.13633 0.00906125
0.04 -3.1051 0.135333 0.0125604
0.04 -2.97033 0.134173 0.0169361
0.04 -2.8368 0.132852 0.022196
0.04 -2.70468 0.131371 0.0282495
0.04 -2.57411 0.129731 0.0348792
0.04 -2.44527 0.127935 0.0417219
0.04 -2.3183 0.125984 0.0482652
0.04 -2.19335 0.123882 0.053864
0.04 -2.07058 0.121631 0.0577786
0.04 -1.95014 0.119233 0.0592333
0.04 -1.83216 0.116692 0.0574897
0.04 -1.7168 0.11401 0.0519243
0.04 -1.60419 0.11119 0.042101
0.04 -1.49446 0.108237 0.0278273
0.04 -1.38776 0.105153 0.00918545
0.04 -1.2842 0.101942 -0.0134656
0.04 -1.18392 0.0986089 -0.0395169
0.04 -1.08702 0.0951566 -0.0681615
0.04 -0.993641 0.0915898 -0.0984624
0.04 -0.90388 0.0879125 -0.129429
0.04 -0.817851 0.0841293 -0.160091
0.04 -0.735655 0.0802448 -0.189563
0.04 -0.657393 0.0762636 -0.217089
0.04 -0.583159 0.0721905 -0.242079
0.04 -0.513042 0.0680303 -0.264112
0.04 -0.447126 0.0637883 -0.282935
0.04 -0.385491 0.0594693 -0.298437
0.04 -0.328211 0.0550787 -0.310621
0.04 -0.275355 0.0506218 -0.319552
0.04 -0.226988 0.0461038 -0.325308
0.04 -0.183166 0.0415303 -0.327896
0.04 -0.143944 0.0369068 -0.327147
