#x points: 24 #c points: 200
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.04 -7.99885 0.00293854 0
0.04 -7.99397 0.00683757 0
0.04 -7.98518 0.0107357 0
0.04 -7.9725 0.0146238 0
0.04 -7.95594 0.0184978 0
0.04 -7.93551 0.0223537 0
0.04 -7.91124 0.0261878 0
0.04 -7.88314 0.0299963 0
0.04 -7.85125 0.0337755 0
0.04 -7.8156 0.0375217 0
0.04 -7.77622 0.0412312 0
0.04 -7.73315 0.0449005 0
0.04 -7.68644 0.0485258 0
0.04 -7.63612 0.0521038 0
0.04 -7.58225 0.0556308 0
0.04 -7.52487 0.0591035 0
0.04 -7.46406 0.0625185 0
0.04 -7.39986 0.0658723 0
0.04 -7.33234 0.0691618 0
0.04 -7.26156 0.0723838 0
0.04 -7.18759 0.075535 0
0.04 -7.11051 0.0786123 0
0.04 -7.03039 0.0816129 0
0.04 -6.94731 0.0845338 0
0.04 -6.86135 0.087372 0
0.04 -6.7726 0.0901249 0
0.04 -6.68113 0.0927897 0
0.04 -6.58705 0.0953638 0
0.04 -6.49044 0.0978448 0
0.04 -6.39139 0.10023 0
0.04 -6.29001 0.102518 0
0.04 -6.18639 0.104705 0
0.04 -6.08063 0.10679 0
0.04 -5.97284 0.10877 0
0.04 -5.86313 0.110645 0
0.04 -5.75159 0.112411 0
0.04 -5.63834 0.114067 0
0.04 -5.52349 0.115612 0
0.04 -5.40715 0.117044 0
0.04 -5.28944 0.118362 0
0.04 -5.17047 0.119564 0
0.04 -5.05035 0.120649 0.0000136535
0.04 -4.92921 0.121616 0.0000237141
0.04 -4.80716 0.122465 0.0000406867
0.04 -4.68432 0.123194 0.0000688912
0.04 -4.56081 0.123802 0.00011501
0.04 -4.43676 0.124289 0.000189144
0.04 -4.31227 0.124655 0.000306172
0.04 -4.18749 0.1249 0.000487437
0.04 -4.06252 0.125022 0.000762653
0.04 -3.93748 0.125022 0.0011719
0.04 -3.81251 0.1249 0.00176735
0.04 -3.68773 0.124655 0.00261431
0.04 -3.56324 0.124289 0.00379089
0.04 -3.43919 0.123802 0.00538562
0.04 -3.31568 0.123194 0.00749219
0.04 -3.19284 0.122465 0.0102009
0.04 -3.07079 0.121616 0.0135861
0.04 -2.94965 0.120649 0.0176907
0.04 -2.82953 0.119564 0.0225083
0.04 -2.71056 0.118362 0.0279642
0.04 -2.59285 0.117044 0.0338995
0.04 -2.47651 0.115612 0.0400596
0.04 -2.36166 0.114067 0.0460907
0.04 -2.24841 0.112411 0.0515475
0.04 -2.13687 0.110645 0.0559117
0.04 -2.02716 0.10877 0.0586225
0.04 -1.91937 0.10679 0.0591166
0.04 -1.81361 0.104705 0.0568731
0.04 -1.70999 0.102518 0.05146
0.04 -1.60861 0.10023 0.0425759
0.04 -1.50956 0.0978448 0.0300814
0.04 -1.41295 0.0953638 0.0140181
0.04 -1.31887 0.0927897 -0.00538861
0.04 -1.2274 0.0901249 -0.0277429
0.04 -1.13865 0.087372 -0.0525051
0.04 -1.05269 0.0845338 -0.0790291
0.04 -0.969608 0.0816129 -0.106607
0.04 -0.889488 0.0786123 -0.134512
0.04 -0.812408 0.075535 -0.162046
0.04 -0.738443 0.0723838 -0.188568
0.04 -0.667664 0.0691618 -0.213531
0.04 -0.600142 0.0658723 -0.236491
0.04 -0.535941 0.0625185 -0.257118
0.04 -0.475125 0.0591035 -0.275194
0.04 -0.417753 0.0556308 -0.290603
0.04 -0.363882 0.0521038 -0.303309
0.04 -0.313563 0.0485258 -0.313338
0.04 -0.266846 0.0449005 -0.320749
0.04 -0.223777 0.0412312 -0.325592
0.04 -0.184397 0.0375217 -0.327866
0.04 -0.148745 0.0337755 -0.327445
0.04 -0.116857 0.0299963 -0.323963
0.04 -0.0887626 0.0261878 -0.3166
0.04 -0.0644898 0.0223537 -0.303645
0.04 -0.0440624 0.0184978 -0.281537
0.04 -0.0275003 0.0146238 -0.242649
0.04 -0.0148195 0.0107357 -0.170692
0.04 -0.0060322 0.00683757 -0.0438221
0.04 -0.00114509 0.00293854 0.0469841
0.04 0.00114509 0.00293854 0.338997
0.04 0.0060322 0.00683757 0.41572
0.04 0.0148195 0.0107357 0.429652
0.04 0.0275003 0.0146238 0.434089
0.04 0.0440624 0.0184978 0.435679
0.04 0.0644898 0.0223537 0.435859
0.04 0.0887626 0.0261878 0.434964
0.04 0.116857 0.0299963 0.432983
0.04 0.148745 0.0337755 0.429767
0.04 0.184397 0.0375217 0.425094
0.04 0.223777 0.0412312 0.418712
0.04 0.266846 0.0449005 0.410355
